iter	Logloss
400	0.2413266966
401	0.2413149929
402	0.2413030291
403	0.2412892495
404	0.2412725555
405	0.2412528687
406	0.2412343941
407	0.2412193087
408	0.2411969352
409	0.2411810425
410	0.2411660622
411	0.2411520231
412	0.241129887
413	0.2411217183
414	0.2411045784
415	0.2410796374
416	0.2410647089
417	0.24104656
418	0.2410359439
419	0.2410196447
420	0.2410074603
421	0.2409980734
422	0.2409837413
423	0.2409685403
424	0.2409544504
425	0.2409386358
426	0.2409222061
427	0.2409031269
428	0.2408783346
429	0.2408626241
430	0.2408476021
431	0.2408324392
432	0.2408186753
433	0.2408025422
434	0.2407846308
435	0.2407646789
436	0.2407415007
437	0.2407237665
438	0.2407080545
439	0.2406931207
440	0.2406737438
441	0.2406594236
442	0.2406409663
443	0.2406257916
444	0.240612289
445	0.2405954953
446	0.2405815569
447	0.2405722692
448	0.240557702
449	0.2405448101
450	0.2405355737
451	0.2405242789
452	0.2405108951
453	0.2404979162
454	0.2404846514
455	0.2404750507
456	0.2404576716
457	0.240440955
458	0.2404245591
459	0.2404036941
460	0.2403896597
461	0.2403774053
462	0.2403645899
463	0.2403470036
464	0.2403289992
465	0.2403127403
466	0.2402968821
467	0.2402815457
468	0.2402695243
469	0.240248259
470	0.2402356242
471	0.2402220247
472	0.2402077155
473	0.2401904536
474	0.2401741151
475	0.2401510203
476	0.2401367127
477	0.2401224344
478	0.2401055696
479	0.2400795658
480	0.2400667964
481	0.2400534623
482	0.2400412033
483	0.2400275389
484	0.2400147389
485	0.240003468
486	0.2399887402
487	0.2399488	0.488	0.23996489	0.489	0.23994490	0.490	0.23991491	0.491	0.2398972118
492	0.2398841911
493	0.2398651712
494	0.2398487603
495	0.2398496	0.2496	0.2398497	0.2497	0.2398498	0.2498	0.2397945358
499	0.2397698893
500	0.2397585573
501	0.2397463988
502	0.2397303048
503	0.2397153361
504	0.23970454
505	0.2396806949
506	0.2396664251
507	0.239651763
508	0.2396369253
509	0.2396151323
510	0.2396029387
511	0.2395885811
512	0.2395729914
513	0.2395610567
514	0.2395314803
515	0.2395098115
516	0.2394973393
517	0.2394861281
518	0.2394684746
519	0.2394543765
520	0.2393895882
521	0.239374522	0522	0.23934523	0.523	0.23932524	0.524	0.23930525	0.525	0.23929526	0.526	0.23928527	0.527	0.23926528	0.528	0.23925529	0.529	0.23924530	0.530	0.23923531	0.531	0.2392532	0.2532	0.2392533	0.2533	0.239534	0.23534	0.239535	0.23535	0.23536	0.238536	0.2537	0.2380537	0.2538	0.2380209634
539	0.2380044991
540	0.2379909658
541	0.2379541	0.2542	0.2379542	0.2543	0.2379310445
544	0.2379160703
545	0.237545	0.23546	0.2378870078
547	0.2378462438
548	0.237548	0.23549	0.23549	0.238550	0.23550	0.238551	0.2377810688
552	0.2377630878
553	0.2377525072
554	0.2377349493
555	0.2377247637
556	0.23556	0.238557	0.23557	0.238558	0.23558	0.238559	0.2376685856
560	0.2376518495
561	0.23561	0.238562	0.23562	0.238563	0.2376059352
564	0.2375901551
565	0.2375734568
566	0.2375560674
567	0.2375411829
568	0.2375284786
569	0.2375141239
570	0.2374970117
571	0.2374463791
572	0.237425894
573	0.237411468
574	0.2373973234
575	0.2373895589
576	0.2373745736
577	0.2373677519
578	0.2373508186
579	0.2373317517
580	0.2373167877
581	0.2373094854
582	0.2372870287
583	0.2372733942
584	0.2372598318
585	0.2372433881
586	0.2372182069
587	0.2371970476
588	0.2371723386
589	0.2371618822
590	0.2371435104
591	0.2371341014
592	0.2371192661
593	0.2371091828
594	0.2370931359
595	0.2370792629
596	0.2370681319
597	0.2370509951
598	0.2370398262
599	0.237027553
600	0.237017201
601	0.2370026312
602	0.2369912537
603	0.2369808437
604	0.2369655644
605	0.2369490153
606	0.2369416856
607	0.2369208961
608	0.2369016554
609	0.2368885938
610	0.2368758664
611	0.236861768
612	0.2368506754
613	0.2368329383
614	0.2368162028
615	0.2368067502
616	0.2367937146
617	0.236782236
618	0.2367673154
619	0.236745507
620	0.2367309442
621	0.236717203
622	0.2367085243
623	0.2366971488
624	0.2366819296
625	0.2366633082
626	0.2366511493
627	0.23663457
628	0.2366258608
629	0.2366185665
630	0.2366026768
631	0.2365844456
632	0.2365684739
75785309
