iter	Passed	Remaining
271	9213	12228
272	9243	12189
273	9273	12150
274	9305	12114
275	9337	12078
276	9369	12042
277	9399	12003
278	9432	11968
279	9474	11944
280	9508	11911
281	9540	11875
282	9578	11846
283	9615	11816
284	9651	11784
285	9685	11751
286	9715	11712
287	9748	11678
288	9788	11650
289	9819	11613
290	9852	11578
291	9885	11544
292	9922	11514
293	9964	11489
294	9997	11454
295	10032	11421
296	10063	11384
297	10098	11352
298	10127	11312
299	10166	11284
300	10205	11256
301	10237	11220
302	10272	11188
303	10315	11163
304	10351	11131
305	10391	11104
306	10422	11067
307	10455	11032
308	10491	11000
309	10533	10975
310	10565	10939
311	10602	10908
312	10645	10884
313	10686	10856
314	10730	10833
315	10776	10810
316	10818	10783
317	10857	10755
318	10891	10720
319	10927	10688
320	10959	10652
321	10994	10619
322	11034	10590
323	11071	10558
324	11105	10525
325	11149	10499
326	11187	10469
327	11228	10440
328	11263	10407
329	11296	10372
330	11331	10338
331	11365	10304
332	11394	10265
333	11425	10228
334	11454	10189
335	11488	10155
336	11523	10121
337	11591	10117
338	11627	10083
339	11658	10046
340	11692	10012
341	11722	9974
342	11757	9941
343	11789	9904
344	11828	9874
345	11866	9843
346	11898	9806
347	11932	9772
348	11968	9739
349	12002	9704
350	12032	9667
351	12069	9635
352	12102	9599
353	12137	9565
354	12201	9554
355	12236	9520
356	12266	9483
357	12294	9444
358	12324	9406
359	12362	9374
360	12400	9343
361	12435	9309
362	12464	9270
363	12503	9239
364	12537	9205
365	12571	9170
366	12606	9137
367	12632	9096
368	12667	9063
369	12706	9031
370	12734	8993
371	12775	8963
372	12811	8930
373	12847	8896
374	12873	8857
375	12908	8822
376	12943	8789
377	12975	8753
378	13012	8720
379	13049	8687
380	13088	8657
381	13115	8617
382	13155	8587
383	13186	8550
384	13215	8513
385	13250	8479
386	13279	8441
387	13310	8405
388	13347	8372
389	13384	8339
390	13418	8304
391	13454	8271
392	13480	8232
393	13513	8197
394	13542	8159
395	13574	8124
396	13609	8090
397	13643	8055
398	13680	8023
399	13716	7989
400	13757	7959
401	13793	7926
402	13829	7892
403	13863	7858
404	13894	7822
405	13929	7788
406	13963	7753
407	13999	7720
408	14039	7688
409	14071	7653
410	14105	7618
411	14144	7587
412	14177	7552
413	14215	7519
414	14255	7488
415	14294	7456
416	14330	7422
417	14368	7390
418	14405	7357
419	14442	7324
420	14477	7290
421	14510	7255
422	14543	7220
423	14583	7188
424	14621	7156
425	14656	7121
426	14686	7085
427	14727	7053
428	14768	7022
429	14803	6988
430	14841	6955
431	14878	6922
432	14912	6888
433	14950	6855
434	14988	6822
435	15024	6788
436	15054	6752
437	15091	6718
438	15133	6687
439	15173	6655
440	15213	6623
441	15251	6590
442	15286	6556
443	15325	6523
444	15362	6490
445	15396	6455
446	15432	6421
447	15466	6386
448	15501	6352
449	15534	6317
450	15569	6283
451	15600	6247
452	15639	6214
453	15678	6181
454	15713	6147
455	15748	6112
456	15786	6079
457	15824	6046
458	15867	6015
459	15912	5984
460	15958	5954
461	16000	5922
462	16037	5888
463	16070	5853
464	16112	5821
465	16157	5790
466	16194	5756
467	16232	5722
468	16266	5688
469	16303	5654
470	16336	5618
471	16373	5585
472	16409	5550
473	16445	5516
474	16488	5484
475	16522	5449
476	16557	5415
477	16593	5380
478	16635	5348
479	16678	5316
480	16714	5281
481	16751	5248
482	16788	5213
483	16829	5181
484	16873	5149
485	16900	5111
486	16936	5077
487	16970	5488	488	17007	5489	489	17042	4490	490	17079	4491	491	17117	4905
492	17156	4871
493	17199	4839
494	17233	4804
495	17265	4496	496	17300	4497	497	17343	4498	498	17385	4668
499	17449	4641
500	17493	4608
501	17531	4575
502	17570	4541
503	17614	4508
504	17652	4474
505	17690	4440
506	17733	4407
507	17770	4372
508	17810	4338
509	17850	4305
510	17892	4271
511	17931	4237
512	17972	4204
513	18005	4168
514	18045	4134
515	18082	4100
516	18117	4064
517	18149	4029
518	18185	3994
519	18213	3957
520	18245	3922
521	18278	3522	522	18311	3523	523	18347	3524	524	18380	3525	525	18422	3526	526	18459	3527	527	18503	3528	528	18544	3529	529	18580	3530	530	18618	3531	531	18656	3532	532	18688	3533	533	18724	3534	534	18759	3535	535	18800	3536	536	18838	3537	537	18880	3538	18931	3301
539	18977	3268
540	19011	3232
541	541	19031	3542	542	19067	3543	19125	3129
544	19166	3094
545	545	19190	3546	19239	3024
547	19277	2990
548	548	19299	2549	549	19334	2550	550	19367	2551	19427	2850
552	19465	2815
553	19499	2780
554	19534	2745
555	19573	2710
556	556	19600	2557	557	19635	2558	558	19674	2559	19726	2571
560	19763	2536
561	561	19781	2562	562	19819	2563	19871	2431
564	19914	2396
565	19948	2361
566	19986	2326
567	20025	2291
568	20068	2257
569	20113	2223
570	20168	2189
571	20211	2155
572	20243	2119
573	20272	2083
574	20314	2049
575	20352	2014
576	20400	1979
577	20435	1944
578	20479	1909
579	20512	1874
580	20553	1839
581	20595	1804
582	20647	1770
583	20695	1736
584	20735	1701
585	20770	1665
586	20814	1631
587	20854	1596
588	20897	1561
589	20936	1525
590	20977	1490
591	21014	1455
592	21054	1420
593	21092	1384
594	21133	1349
595	21169	1314
596	21207	1278
597	21244	1243
598	21282	1208
599	21310	1172
600	21340	1136
601	21380	1100
602	21413	1065
603	21455	1030
604	21490	994
605	21530	959
606	21560	923
607	21593	887
608	21629	852
609	21665	816
610	21706	781
611	21742	746
612	21783	710
613	21817	675
614	21854	639
615	21895	604
616	21932	568
617	21972	533
618	22007	497
619	22041	462
620	22077	426
621	22109	390
622	22145	355
623	22184	319
624	22227	284
625	22258	248
626	22300	213
627	22337	177
628	22396	142
629	22424	106
630	22456	71
631	22512	35
632	22532	0
6	0
